enterprise_id,enterprise_name
20260067-X,四川科伦药业股份
70718935-3,国药集团中联药业
23944464-X,天士力医药集团股份
73037720-5,天津市石天药业
10409702-X,天津红日药业股份
67423079-3,安徽美致诚药业
16410372-7,山东新华制药股份
07826979-8,常州合全药业
73217531-6,广东腾骏药业股份
23113152-6,康美药业股份
67597842-9,康龙化成天津药物制备技术
74482771-3,延安必康制药股份
74469326-8,德阳新诺赛制药
MA3MWQNB-4,日照巴洛特药业
67984727-4,江苏为真生物医药技术股份
70404786-X,江苏恒瑞医药股份
69547512-4,江苏鼎昊医药科技
32309092-8,云南中海渔业
MA497DU0-7,仙桃市张家垸养殖家庭农场
MA59THQJ-X,何氏蹦蹦鱼广州生态渔业开发
MA44A921-8,卢氏县朱阳关刘家坡渔业养殖农民专业合作社
35020427-3,台州广源渔业
MA52UKBW-8,四会市兴富水产养殖
MA2AEJXC-6,宁波市鄞州区奥海远洋渔业
MA2N0MRH-2,安徽长江渔歌渔业股份
33082042-3,宿迁市苏渔水产科技
MA2YQT7G-8,尤溪县闽湖休闲渔业
MA63NTAL-0,峨边彝族自治县渔樵渡农业旅游开发
MA5EQG47-7,广东大汇亚远洋渔业
MA5ALT8A-1,广东海祥渔业
MA5AM3WF-X,广州宇顺渔业发展
MA5AQ9NJ-3,广州锐沣渔业发展
32261079-2,广西海蓝深海渔业
MA744AY8-4,康乐县恒达渔业养殖农民专业合作社
MA448U3B-2,开封市祥符区杜良乡渔兴源水产养殖农民专业合作社
MA0Q8GL1-X,扎赉特旗金福源水产养殖专业合作社
MA781HW1-0,新疆天露南山渔业
MA4CW9F7-7,洪湖市千湖渔歌水产养殖专业合作社
MA2AN2YU-2,浙江兴邦远洋渔业
MA487GCX-X,浠水县游甫咀养渔场
MA5T10NX-4,海南兴江渔业科技
MA5RJJX3-0,海南鲜道鲜德渔业
MA5RJJX3-1,海安裕丰渔业服务
MA4916UH-4,湖北省长湖生态渔业发展
MA4M7AD2-9,湖南子非鱼渔业
MA51BMDJ-5,珠海市泓森渔业
MA4Q78KQ-8,益阳市大通湖区勤上水产养殖专业合作社
72244875-5,佛山市海天调味食品股份
76292268-5,佛山市海天高明调味食品
58830642-1,佛山市茗福调味香料
MA51Y7XJ-7,佛山市酱承调味品
30843045-3,保定味福源食品
21893016-3,保山市隆阳区黎明酱园
93892883-8,包头市呱呱叫调味品
67284419-3,北京味香情调料食品厂
74549751-7,北京香满家调味品厂
71444910-9,四川清香园调味品股份
79014399-6,安徽强旺调味食品
73498208-2,安徽明珠调味食品
71325982-1,常州市宁宁调味品
57674177-6,常州鼎真味食品
72055232-1,常熟市鲜尔得调味食品厂
X1879704-6,广州市如丰果子调味食品
61775625-4,开平味事达调味品
56204511-2,成都全一食品
67430114-1,成都前进兴旺调味品
78811864-4,成都华军调味食品
67715586-4,成都川友调味品
68633527-7,成都市大林调味品
76538823-8,成都市富友绿色调味品
61842640-9,李锦记广州食品
61774488-6,李锦记新会食品
78981468-4,河北中科天恩食品
30820951-3,河北周黑鸭食品工业园
70075370-8,河北御香坊食品
72187485-9,河南白象调味品
08238385-X,白银宝城食品
MA6NFM1R-8,中冶南方红河气体
MA44G0N6-0,义马金裕机械气体分
MA6KNQAN-4,云南安锋气体
MA0NJK3H-4,内蒙古天茂气体
MA0Q249K-3,内蒙古海乐气体
MA0NJ3RF-4,包头市金丰气体
MA00ENWG-0,北京燕山石化液化空气气体
MA47AQ37-2,南阳市医用氧气厂官庄分厂
MA179HG7-X,吉林市博索德姆特种气体
MA0E32RF-6,唐山瑞能科泰工业气体
MA0YR2UX-1,大连华奥荣润气体
MA291CQL-4,宁波镇海炼化林德气体
MA3Q66TG-0,山东飞源气体
MA0GTGP4-5,山西兴业投资控股集团气体分
MA6TEDRG-9,日喀则润富气体
MA6NEGTQ-6,昆明安宁梅塞尔气体产品
MA1QFXB5-5,林德气体泰兴
MA44BQMX-9,河南北氧康益气体科技
MA3QC92W-0,济南福顺康气体
MA3C6LAL-9,济宁宝钢气体
MA2A3EHH-1,浙江建航气体
MA4895WC-6,液化空气潜江
MA0MXH57-2,液化空气达拉特旗
MA0E089J-4,滦州市首阳工业气体
MA49036U-4,瑞泽气体净化湖北
MA2YKN1P-4,空气产品晋江电子气体
MA0YT2QJ-2,空气产品鞍山气体
MA6DL5HN-4,贵州省科创气体
MA0YYN24-1,辽宁黎明气体
MA07NFUU-6,迁安市泽源气体
20134865-2,三亚市航运总
75436673-8,三亚振源水上运输
39560544-1,三亚星佳国际船务代理
55025866-3,三峰靖江港务物流
72583955-9,三门峡北方游船
63058267-4,上海万荣船务
75057715-9,上海三江国际货运
59817199-7,上海东丰船务
66439865-6,上海东昊海运
13476721-5,中国外运江苏
10432485-1,中国外运河北
17841741-X,中国外运湖北黄石
74391723-1,中国外运长江
10000170-5,中国外运长航集团
71816072-4,中远海运特种运输股份
24238150-4,中远海运石油运输
13221273-4,中远海运能源运输股份
12008182-9,丹东海运
24281117-2,丹东边境经济合作区东川船务
74432542-2,丹东银海轮船海运
75276398-3,丹东鸿利海运
74369736-3,佛山海驳顺沿海货物运输
MA518RYA-2,佛山穗合港务
61764429-5,佛山高明珠江货运码头
75689269-4,南京顺业船务
09401525-3,南京风平船务
56288993-X,南京鲲翔船务
05798434-6,南京鹏飞智慧物流股份
06226087-9,福建嘉达船舶
MA34A93B-4,福建国翔海运
MA4113EP-2,三门峡昊力机电设备
MA9F1KBQ-X,三门峡鑫晟冶金设备
59057802-0,三门新洲机械
69724475-X,上海一鼎重型矿山设备制造
56961923-8,上海中博重工机械
55151524-6,上海亿有重工机械
66775460-1,上海众发机械设备
80553048-X,冀中能源邯郸矿业集团通方煤矿机械
75026270-4,冀凯装备制造股份
57526014-5,内江黑石矿山机械设备
MA0Q7X0B-9,内蒙古中煤大泰采掘机械
67438269-0,包头市至诚矿山机械设备
MA0Q1GQA-7,包头市锐锋科技特钢
78300339-7,包头市高新矿山机械设备
55813922-0,包头市鸿琦矿山机械
MA0N01GP-7,包头鸿丞众和矿山设备
56575811-8,北京丁力达矿山设备
10146104-1,北京三盟矿用设备厂
68673938-6,南京峰凯机械制造
79713088-0,南京泰宇矿用设备
66066147-X,南京睿坦煤矿机械制造
13488696-X,南京矿山机械厂
24969965-4,南京立力煤矿机械制造
20473477-8,泸州冶金矿山设备
20491077-8,泸州市长江矿山机械厂
20472149-1,泸州探矿者机械加工
69227002-7,泸州鑫成矿山机械
09060632-0,洛阳万泽电气设备
76167417-3,洛阳三重矿山机械
61480575-1,洛阳三高重型矿山机械
55521422-1,山东佰城实业
MA3MCWPY-2,山东佰川启程建筑工程
MA3QR6AW-5,山东佰川建筑工程
MA3NDF7R-0,山东佰川护栏工程
MA3M4M06-3,山东佰川汇鑫智能工程
MA3PCY9W-2,山东佰成建筑工程
MA3N32XD-1,山东佰诚建筑安装工程
MA3QLM0G-1,山东佰达通建筑劳务
MA3PK79D-7,山东佰达防水保温工程
73577188-5,山东大卫国际建筑设计
75176373-8,山东大唐建设工程
49405666-0,山东大唐环境工程
07578276-4,山东大圣建设安装
26435245-6,山东大山路桥工程
30696581-7,山东大舍装饰工程
76098147-0,山东天幕装饰工程
MA3MTTLJ-9,山东天朴胜建设工程
MA3FC88A-6,山东天齐明达住工科技
MA3N9F7R-9,山东奥品装饰工程
MA3P7EWX-5,山东奥奇装饰工程
MA3M7XCJ-2,山东奥普森电力工程
MA3DLG4Q-0,山东奥欧建设工程
57288476-1,山东奥润建筑安装工程
MA3PXKJ4-3,山东奥然市政工程
MA3P90XR-5,山东奥然智能工程
MA3FGJ4T-8,山东奥瑞建筑工程
MA3QQL0G-6,山东奥起建筑工程
06119077-6,山东川东建筑工程
75637612-0,山东川宏装饰工程
78741516-1,山东川工建联建筑劳务
77892908-0,ABB高压电机
61792619-6,BPW梅州车轴
61324351-5,DUPLO山东办公设备
73974488-4,LG化学广州工程塑料
73333849-8,NGK苏州热工技术
73225277-2,NGK苏州环保陶瓷
60053412-9,PPG涂料天津
74599577-8,SEW-传动设备广州
80114882-2,SMC北京制造
60512069-7,一汽—大众汽车
MA06BMA8-1,一汽富维本特勒汽车零部件天津
78294444-3,一立木业
75036994-X,一胜百模具技术宁波
67385858-9,万凯新材料股份
61836474-6,东莞长江电脑制品
67881374-2,东莞雷笛克光学
67135970-0,东莞首邦电子
61833744-9,东莞高力电池
69640642-X,东莞高太士服饰
06845791-2,东莞鸿宇自动化设备
07191344-8,东莞鸿恩电子
MA3M9PUH-X,东营威德福高原石油设备
57936055-7,东营安川机电控制
72624682-7,东营新世纪环保科技
59135848-4,东营朝日塑料制品
57382881-7,东贺隆昆山电子
70208754-2,东软医疗系统股份
19142799-7,宝莱发展
75347951-1,宝贝龙美容器械广州
76338312-6,宝辉科技龙南
MA5T34PU-4,临高绿源林业发展
21815468-6,云南云投生态环境科技股份
21845240-5,云南云景林业开发
MA1AXQ7W-5,伊春市新青林业局新松中心苗圃
MA1BY4L1-7,伊春森工带岭林业局明月林场分
MA1BY4DY-6,伊春森工带岭林业局永翠林场分
MA0PYB09-9,兴安盟荣森林业发展
MA1WWUYH-X,南京沐森林业科技
MA1AXWEX-4,呼玛县林之源林业
MA5AM87D-8,四川省君荣林木开发从化分
35629325-4,四川省金辉林业
MA1B7PGP-1,孙吴县明国林业服务
57042009-0,安徽和合生态农业股份
68979138-2,安徽宏盛生态园林工程建设
MA5YY6DW-3,巫溪县阴条岭林业专业合作社
05684576-6,广东甬诚霖茂林业
72651574-0,广东粤壮园林建设
32480323-X,广东粤林林业发展
57792986-9,广东肇林林业发展
MA5AP5Q1-9,广州蓝海林业开发
MA5N9R0M-X,广西浩龙林业开发
MA5N7906-9,广西钦州市业安林业管护
MA320LEH-X,建宁县森超林业发展
MA1UXDEA-2,江苏烜恒林业发展
MA38CAX7-X,江西省林森林业发展
MA0KE4KG-0,沁水县海博林业开发
MA31QMRX-7,沙县郑湖上洋桑梓林业专业合作社
55050078-X,浙江农生种苗
MA2810FQ-1,浙江宁和园花木
77080063-7,浙江苗夫苗木科技
10002435-X,SK北京汽车租赁
33623163-8,SK北京汽车租赁沧州分
78626011-0,上海吉望汽车租赁
08780555-6,上海吉霆汽车租赁
56653328-7,上海吉驰汽车服务
68762421-4,北京中运通达汽车租赁
73767884-4,北京中远大昌汽车服务
06131262-2,北京忠恩悦航汽车租赁
30275949-3,南京戴维斯汽车租赁
MA1P19G3-8,南京诚旅汽车服务
MA1N5GG7-X,南京车融汇汽车服务
MA348ETP-7,厦门市翰雄汽车服务
MA2YHLB0-1,厦门市迪滴汽车租赁
39580632-3,安徽百众旅游客运
07721176-2,安徽百利行汽车服务
MA2N47LH-5,安徽百耀汽车租赁
MA2NB93P-X,安徽百迪汽车服务
MA3MFDXH-9,山东世纪天成汽车租赁
MA3C4GLD-9,山东晟轩汽车服务
32620353-7,山东顺安汽车租赁
70923290-9,成都先锋汽车租赁
32746983-9,成都祥如汽车租赁
66533736-1,成都西线越野汽车租赁
MA2B2J5H-4,杭州正北汽车服务
67062067-1,杭州正奇汽车服务
MA28RQCF-5,杭州至尊宝汽车服务
69396281-8,深圳市佰通汽车租赁
32669774-1,深圳市八十迈汽车租赁
MA5DDJ5W-4,深圳市百车行汽车租赁
34218600-1,艾邦汽车租赁上海
74617886-8,上海农神食用菌科技
76942988-5,上海永大菌业
32957849-X,中延菌菇业天津
59199386-7,内蒙古亿佳鸿菌业
72267277-3,北京吉昌食用菌
79851908-9,北京恒达兴菌业
66841431-8,北京绿禾都示食用菌专业合作社
MA0MX73Q-8,呼伦贝尔市华珍食用菌
MA0MW5KA-4,呼伦贝尔盛坤泰食用菌种植专业合作社
MA0GT3J8-4,大同市云州区同鑫源食用菌种植专业合作社
31154454-X,大连千叶食用菌专业合作社
MA06DRLK-4,天津亿顺缘食用菌种植专业合作社联合社
67943853-4,天津市蓟县中亿建良食用菌种植专业合作社
05496817-2,山东众兴菌业科技
57938013-6,山东农发菌业集团
06736859-8,山东利农菌业
57286364-5,山东方华食用菌
MA0K2UWR-2,山西北芪菇食用菌种植
59736083-3,山西珍菇坪食用菌
57338963-1,山西鑫辰美食用菌种植
09585653-X,抚顺华阳食用菌
MA0QFA54-4,朝阳县兴茂食用菌
05520869-3,江苏众友兴和菌业科技
55075670-X,沈阳鼎丰食用菌
MA1XP44E-6,泗洪县浩力食用菌种植专业合作社
66926382-2,福建世野食用菌股份
05431320-5,福建天益菌业
68938166-6,福建省中延菌菇业股份
MA0UGGG8-2,辽宁本农裕祥明菌业
33901857-6,连云港瑞升食用菌
73557182-4,北京中核北研防水装饰工程
MA0038A7-6,北京中核金石建设
MA006LAX-0,北京中桥建筑工程
MA01MFQT-1,北京中梁建设工程
MA01F100-2,北京中梓基业建筑装饰工程
MA00BM5N-7,北京中棚建筑工程
69636298-1,北京中森伟业科贸
MA01QGRA-7,北京中楚力泽建筑工程
MA01KU01-7,北京中楷建业建筑工程
MA01UBHN-8,北京元寅鑫鸿建设工程
MA01GU9X-4,北京元捷建筑工程
MA01D25R-7,北京元方盛装饰工程
MA01N27G-4,北京元林建筑劳务
MA01GTQG-0,北京元楚建筑工程
55852314-2,北京元正装饰工程
MA01H3AD-9,北京元鼎通市政工程
80173956-9,北京兄弟同创装饰工程
59968182-5,北京兄弟和扬机电工程
33022067-1,北京兆铭骏环境技术
74333260-4,北京光照宏伟建筑拆除
MA01E6JY-X,北京全良辰建筑工程
MA0188GA-7,北京全装美家装饰
MA01MGFT-4,北京全辉万通工程
58442817-3,北京全雅建筑工程
10301384-0,北京全顺地基机械施工
70035034-3,北京全顺宏达建设工程
MA01D30J-2,北京六合国际装饰工程
MA01QL0L-9,北京兰奥兰建筑工程
05739943-8,北京兰庭逸家建筑装饰
66216390-9,北京兰超环保工程
MA2YE5HX-X,三福服饰
MA1GW9DN-3,上海怡铭服装科技
MA1JBRW8-9,上海暖媛服装辅料贸易中心有限合伙
MA1J3P5X-2,上海沃尚时装
MA1YYBC4-4,世恩南通时装进出口
MA53WFW2-4,中山市小鹿角服饰
MA5CPCGN-6,依潮名汇广州服饰
MA72DXCY-7,兰州乔顿服饰
MA0035L1-9,北京丽诺服装
MA008BRF-5,北京圣拉露娜服饰
MA01J5QT-8,北京市仲艺服饰
MA003BTD-4,北京无形服装
MA1YN62N-2,南通杰讯服饰销售
59751793-3,古奇拉利四川服装
MA69YGL4-1,四川戴维森服饰
MA1BTX7J-7,大庆铂辞服饰销售
10306334-6,天津服装进出口股份
MA2YQLQ9-X,平潭三福服饰
MA5CWHAA-3,广州佳禾服饰科技
MA5CPYAJ-5,广州市依色锦时尚服饰
MA5D0WQB-0,广州市合和皮具服饰
MA5CUD3W-7,广州市韵动服装贸易
MA5CYLX0-X,广州自在生活服饰
MA1YWRQG-4,扬州尚衣汇时装设计
MA1K365L-3,摩酷时装上海
70325298-4,新疆拉夏贝尔服饰股份
MA1YC63P-5,昆山科辛佰绎服饰销售
77976528-4,普拉达时装商业上海
MA2GYJ7E-1,杭州卿衣坊服饰
MA2GNWNU-X,杭州洪陵服饰
MA4W4Q9T-0,TCL融资租赁珠海
32162417-2,上海加敬融资租赁
32168270-0,上海日升融资租赁
32164783-3,上海祥达融资租赁
MA3X9JAR-8,中原航空融资租赁股份
MA6K31Q1-9,云南云投融资租赁
59382220-1,北京中车信融融资租赁
58442054-2,北京京能源深融资租赁
39791413-3,北京市文化科技融资租赁股份
MA05TKXT-1,国投建恒融资租赁股份
57831419-6,国网国际融资租赁
56075164-6,国融国际融资租赁
MA069DX9-0,天津欧拉融资租赁
MA2AE4HJ-0,宁波中金融资租赁
09422138-0,宁波众泰融资租赁
32170538-6,安徽国元融资租赁
07963949-8,宏泰国际融资租赁天津
08403977-X,山东晨鸣融资租赁
68690250-X,山重融资租赁
58792703-1,山高国际融资租赁深圳
09312339-1,广东粤科融资租赁
56437957-0,新疆鼎源融资租赁股份
35002043-1,汇海融资租赁股份
MA1NT7PX-6,江苏华文融资租赁
MA35K56K-1,江西省金控融资租赁股份
MA3XECXN-X,河南国宏融资租赁
MA3DALAB-X,泰和融资租赁
MA27XNF6-4,浙江大搜车融资租赁
MA2A2E0D-5,浙江省空港融资租赁
34977397-0,深圳创维融资租赁
13216028-4,上海文武腌腊制品
63092317-6,上海申兰肉类加工
68738692-2,上海芙德肠衣
MA01KGBA-2,北京乔歌肉类食品
MA52EDAM-3,厨冠佛山食品
31448654-1,古蔺新佳多肉类食品
MA0UMLGF-6,大连尚真食品
MA0QF87G-X,大连康百嘉食品
MA0XTA05-3,大连锦豪云品肉业
MA0XTA0X-2,大连食在肉业
MA2ND9RC-7,安徽香又香肉食品储备
56142113-9,山东德州扒鸡股份
66402254-4,广州佳应食品
32224723-3,广州萌萨肉制品加工
MA62L53N-5,成都君游乐食品
MA62P5XT-7,成都毛市佬食品
MA6CL4LB-8,成都蜀粹轩食品
76228956-8,成都西航食品
72160084-X,承德康硒食品
MA5N1PR3-7,桂林市淘鲜食品
MA5KR4PG-2,桂林肉类联合加工冷冻分
MA3CBX71-6,梁山县跃达清真食品
69534554-9,武汉市福禧润春肉食品
MA4KRFMT-8,武汉质佳食品
56557297-0,武汉闵记快乐食品
MA4KW3U8-1,武汉鼎一雷食品
56569659-4,武胜县醉巴斯麻辣牛肉食品
69836770-0,江苏雨润肉食品
15840122-6,江西煌上煌集团食品股份
MA4PCXEM-1,湖南省宏罡食品
MA1N7WY2-8,上海银行股份盐城分行
33999714-5,东辽农商村镇银行股份
10000547-4,中国农业银行股份
90123229-8,中国农业银行股份浦北乐民支行
79377220-2,中国农业银行股份莆田秋芦分理处
72342552-0,中国农业银行股份蒲江桫椤支行
10000396-2,中国工商银行股份
83715670-1,中国工商银行股份常州分行
10000444-7,中国建设银行股份
74809901-2,中国建设银行股份上海崮山路支行
13312561-6,中国建设银行股份上海虹口支行
83249235-1,中国建设银行股份上海顾北东路支行
10001644-8,中国进出口银行
71093465-X,中国邮政储蓄银行股份
10000134-2,中国银行股份
70605387-6,临商银行股份
MA0Y3E3J-7,临江蛟银村镇银行股份
70146625-X,内蒙古银行股份
MA0MY3JG-2,凉城县乌拉特村镇银行
MA6UYNRK-9,华夏银行股份西安金泰假日花城社区支行
08101121-0,华夏银行股份西安锦业路支行
MA6W3GWD-7,华夏银行股份西安锦园新世纪社区支行
78418957-6,厦门农村商业银行股份
56688120-6,合作金库商业银行股份苏州分行
00001845-4,国家开发银行
05864492-5,国民银行中国苏州分行
MA0HJBPQ-8,天镇县河东村镇银行
55018968-8,安徽肥西农村商业银行股份
58592783-9,庆城县金城村镇银行股份
MA1MK0MU-3,恒丰银行股份连云港分行
59214524-5,中山市保富集成家居
57644601-3,中山市渤雅家具
56259922-X,中山市长丰家具
MA5220WJ-8,中山市长汇红木家具
MA06A67A-X,天津丝涟床垫
L3457435-5,天津市一木方圆家具
76432791-9,天津市中海恒业家具
69066291-6,天津市兴叶家具
73038398-X,天津市振兴家具
58131854-2,天津市艺凯顺家具
34048412-8,宁波丽丰家居
05383687-2,宁波丽凯儿童用品
MA282GRB-4,宁波乐帆办公家具
MA2AGJ5P-5,宁波力富特智能科技
34062043-3,宁波肯沃德家具
68107240-4,宁波麦高家具
MA2NEDCB-X,安徽加和智能家居
09932581-6,安徽匠遇良材红木家居
78108545-6,安徽华胤家具
73302169-3,安徽华阳家具
79465427-5,广东万宝龙门实业
07954092-2,广东万恒通家居制品
33481830-4,广东京晟家具
75560701-1,广东佳居乐厨房科技
31482436-0,广东华展家具制造
58472992-9,广东天一美家家居集团
58298676-1,广东拓艺家具
57794617-5,广东甜秘密寝具
09235735-6,广东金时通家具装饰工程
MA4X207J-5,广东金点原子智能科技
06415839-2,常山天道中药饮片
13716196-4,常州市第四制药厂
75064024-2,常德洞庭医药
57997492-X,广东正源分子中药
71482699-8,广东正韩药业股份
58465793-7,广东盏王制药
MA1NCDWC-2,张家港普渡中药饮片
33125183-2,徐州中健药业
MA62P61X-9,成都万春药业
20636227-7,成都兴沣瑞中药饮片
06240121-3,成都曙源中药饮片
09987477-8,成都欣福源中药饮片
74032126-4,成都通灵中药饮片精选
MA1WJHP6-6,扬州名仁天然药物
MA1X1Q65-4,扬州盈德堂药业
79906167-1,江苏东方慧医华康中药饮片
32359949-2,江苏东禾医药
MA1MBYGH-2,江苏东莲药业
